,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Dreamer,0.52,0.778,9,-4.161,1,0.26,0.324,0,0.896,0.388,164.677,audio_features,2sNhYJ2ggd9BadlTXU3Mah,spotify:track:2sNhYJ2ggd9BadlTXU3Mah,https://api.spotify.com/v1/tracks/2sNhYJ2ggd9BadlTXU3Mah,https://api.spotify.com/v1/audio-analysis/2sNhYJ2ggd9BadlTXU3Mah,339973,4
Balance,0.479,0.0264,2,-23.454,0,0.0274,0.955,0.96,0.0947,0.229,87.408,audio_features,6XDKiHD6zB5T8dyXaP3qFc,spotify:track:6XDKiHD6zB5T8dyXaP3qFc,https://api.spotify.com/v1/tracks/6XDKiHD6zB5T8dyXaP3qFc,https://api.spotify.com/v1/audio-analysis/6XDKiHD6zB5T8dyXaP3qFc,142629,4
Somos Amigos,0.757,0.537,1,-7.925,1,0.0347,0.406,8.26e-06,0.138,0.656,165.124,audio_features,2uySxR57hAMkbQyP6HdFXC,spotify:track:2uySxR57hAMkbQyP6HdFXC,https://api.spotify.com/v1/tracks/2uySxR57hAMkbQyP6HdFXC,https://api.spotify.com/v1/audio-analysis/2uySxR57hAMkbQyP6HdFXC,257147,3
White Meadows - Lofi Hip Hop,0.448,0.451,4,-11.63,0,0.242,0.906,0.745,0.136,0.157,82.557,audio_features,18yI60afpU520xfJI2WuoA,spotify:track:18yI60afpU520xfJI2WuoA,https://api.spotify.com/v1/tracks/18yI60afpU520xfJI2WuoA,https://api.spotify.com/v1/audio-analysis/18yI60afpU520xfJI2WuoA,87254,4
Si Nos Dejan (Salsa Version),0.756,0.574,0,-8.927,0,0.0353,0.461,0,0.343,0.876,88.543,audio_features,1BMDFe8uuObte235iB9L2P,spotify:track:1BMDFe8uuObte235iB9L2P,https://api.spotify.com/v1/tracks/1BMDFe8uuObte235iB9L2P,https://api.spotify.com/v1/audio-analysis/1BMDFe8uuObte235iB9L2P,279987,4
Mountains Ahead,0.699,0.564,1,-11.902,1,0.0352,0.0128,0.854,0.253,0.479,129.95,audio_features,4YWqwP4Ctennu1fQ1YZXEr,spotify:track:4YWqwP4Ctennu1fQ1YZXEr,https://api.spotify.com/v1/tracks/4YWqwP4Ctennu1fQ1YZXEr,https://api.spotify.com/v1/audio-analysis/4YWqwP4Ctennu1fQ1YZXEr,147724,4
Never Forget You,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,audio_features,6hmhG1b4LEyNuashVvuIAo,spotify:track:6hmhG1b4LEyNuashVvuIAo,https://api.spotify.com/v1/tracks/6hmhG1b4LEyNuashVvuIAo,https://api.spotify.com/v1/audio-analysis/6hmhG1b4LEyNuashVvuIAo,213428,4
Good Lovin,0.619,0.754,0,-5.231,1,0.232,0.294,3.48e-06,0.109,0.589,83.464,audio_features,3aeSTu6ejN2BU8YywEcHWO,spotify:track:3aeSTu6ejN2BU8YywEcHWO,https://api.spotify.com/v1/tracks/3aeSTu6ejN2BU8YywEcHWO,https://api.spotify.com/v1/audio-analysis/3aeSTu6ejN2BU8YywEcHWO,223440,4
treehouse,0.691,0.733,6,-5.02,1,0.0368,0.184,0,0.341,0.797,153.976,audio_features,6S1IgeHxxOT9qVWnmsdGxe,spotify:track:6S1IgeHxxOT9qVWnmsdGxe,https://api.spotify.com/v1/tracks/6S1IgeHxxOT9qVWnmsdGxe,https://api.spotify.com/v1/audio-analysis/6S1IgeHxxOT9qVWnmsdGxe,219933,4
Roaming Minds,0.594,0.118,11,-14.162,0,0.0564,0.985,0.976,0.0599,0.192,76.001,audio_features,2fH2VWTYT9ODvGGjcsxIZr,spotify:track:2fH2VWTYT9ODvGGjcsxIZr,https://api.spotify.com/v1/tracks/2fH2VWTYT9ODvGGjcsxIZr,https://api.spotify.com/v1/audio-analysis/2fH2VWTYT9ODvGGjcsxIZr,120493,4
Travesuras - Salsa Version,0.788,0.946,1,-2.027,1,0.0446,0.573,1.03e-05,0.071,0.935,107.947,audio_features,3fQoEY3lLYgHdaroFJJIlO,spotify:track:3fQoEY3lLYgHdaroFJJIlO,https://api.spotify.com/v1/tracks/3fQoEY3lLYgHdaroFJJIlO,https://api.spotify.com/v1/audio-analysis/3fQoEY3lLYgHdaroFJJIlO,264880,4
