,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3314,Nada Más,2019-08-11 02:23,La Bomba de Tiempo,Nada Más,204809,2019-08-11 02:23:00,0.741,0.738,0,-3.032,1,0.0297,0.332,0.0,0.263,0.785,130.002,audio_features,6gEewFO5ZI15y3LRdeU0dE,spotify:track:6gEewFO5ZI15y3LRdeU0dE,https://api.spotify.com/v1/tracks/6gEewFO5ZI15y3LRdeU0dE,https://api.spotify.com/v1/audio-analysis/6gEewFO5ZI15y3LRdeU0dE,200935,4
3315,Día Perfecto,2019-08-11 02:27,Armadillo Cactus,Día Perfecto,221666,2019-08-11 02:27:00,0.818,0.497,0,-7.329,0,0.0769,0.449,0.0,0.132,0.354,119.965,audio_features,7fCde1zgsFp0VYrjgFX0ka,spotify:track:7fCde1zgsFp0VYrjgFX0ka,https://api.spotify.com/v1/tracks/7fCde1zgsFp0VYrjgFX0ka,https://api.spotify.com/v1/audio-analysis/7fCde1zgsFp0VYrjgFX0ka,144537,4
3316,Querida Ven,2019-08-11 04:29,Francisco Victoria,Querida Ven,205904,2019-08-11 04:29:00,0.672,0.798,11,-6.587,0,0.0419,0.0468,0.0,0.108,0.958,152.055,audio_features,5NM5TCTN3S1k8nql29oIuZ,spotify:track:5NM5TCTN3S1k8nql29oIuZ,https://api.spotify.com/v1/tracks/5NM5TCTN3S1k8nql29oIuZ,https://api.spotify.com/v1/audio-analysis/5NM5TCTN3S1k8nql29oIuZ,205905,4
3317,Amar en Silencio,2019-08-11 04:33,Pedropiedra,Amar en Silencio,191663,2019-08-11 04:33:00,0.78,0.723,10,-7.884,1,0.0759,0.187,0.000676,0.0941,0.77,95.305,audio_features,2nArTS9sqS0zhKnmGe86yD,spotify:track:2nArTS9sqS0zhKnmGe86yD,https://api.spotify.com/v1/tracks/2nArTS9sqS0zhKnmGe86yD,https://api.spotify.com/v1/audio-analysis/2nArTS9sqS0zhKnmGe86yD,191663,4
3318,Corazón,2019-08-11 04:34,Santropia,Corazón,70596,2019-08-11 04:34:00,0.704,0.83,11,-3.139,1,0.0297,0.0489,0.0,0.111,0.957,127.104,audio_features,0u4N6w5lBw5xMrzJitRWUo,spotify:track:0u4N6w5lBw5xMrzJitRWUo,https://api.spotify.com/v1/tracks/0u4N6w5lBw5xMrzJitRWUo,https://api.spotify.com/v1/audio-analysis/0u4N6w5lBw5xMrzJitRWUo,211453,4
3319,Amar en Silencio,2019-08-11 04:53,Pedropiedra,Amar en Silencio,191663,2019-08-11 04:53:00,0.78,0.723,10,-7.884,1,0.0759,0.187,0.000676,0.0941,0.77,95.305,audio_features,2nArTS9sqS0zhKnmGe86yD,spotify:track:2nArTS9sqS0zhKnmGe86yD,https://api.spotify.com/v1/tracks/2nArTS9sqS0zhKnmGe86yD,https://api.spotify.com/v1/audio-analysis/2nArTS9sqS0zhKnmGe86yD,191663,4
3320,Corazón,2019-08-11 04:54,Santropia,Corazón,29471,2019-08-11 04:54:00,0.704,0.83,11,-3.139,1,0.0297,0.0489,0.0,0.111,0.957,127.104,audio_features,0u4N6w5lBw5xMrzJitRWUo,spotify:track:0u4N6w5lBw5xMrzJitRWUo,https://api.spotify.com/v1/tracks/0u4N6w5lBw5xMrzJitRWUo,https://api.spotify.com/v1/audio-analysis/0u4N6w5lBw5xMrzJitRWUo,211453,4
3321,Amar en Silencio,2019-08-11 06:00,Pedropiedra,Amar en Silencio,110387,2019-08-11 06:00:00,0.78,0.723,10,-7.884,1,0.0759,0.187,0.000676,0.0941,0.77,95.305,audio_features,2nArTS9sqS0zhKnmGe86yD,spotify:track:2nArTS9sqS0zhKnmGe86yD,https://api.spotify.com/v1/tracks/2nArTS9sqS0zhKnmGe86yD,https://api.spotify.com/v1/audio-analysis/2nArTS9sqS0zhKnmGe86yD,191663,4
3322,インフェルノ,2019-08-11 06:03,Mrs. GREEN APPLE,インフェルノ,212546,2019-08-11 06:03:00,0.529,0.931,4,-1.538,1,0.0581,0.00955,0.0,0.465,0.695,92.466,audio_features,64yajM6CxtLghmgB53VeXT,spotify:track:64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/tracks/64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/audio-analysis/64yajM6CxtLghmgB53VeXT,212547,4
3323,GONG,2019-08-11 06:04,WANIMA,GONG,18181,2019-08-11 06:04:00,0.653,0.279,8,-13.593,0,0.0661,0.476,0.932,0.106,0.916,170.276,audio_features,2U6s0K0J5tEXtNHsO2xOt8,spotify:track:2U6s0K0J5tEXtNHsO2xOt8,https://api.spotify.com/v1/tracks/2U6s0K0J5tEXtNHsO2xOt8,https://api.spotify.com/v1/audio-analysis/2U6s0K0J5tEXtNHsO2xOt8,91765,4
